cache_size,Oracle,GFPC,FPC,Greedy,tp sampling,random
50,0.1455,0.1357,0.1312,0.0514,0.0325,0.0094
100,0.2297,0.2191,0.2041,0.1026,0.0685,0.0125
150,0.295,0.2778,0.2543,0.1479,0.1023,0.0152
200,0.3494,0.3237,0.3052,0.2035,0.1343,0.0212
250,0.3943,0.3652,0.3421,0.2552,0.1502,0.0318
300,0.4332,0.4121,0.3858,0.2901,0.1792,0.0397
350,0.4682,0.4331,0.4175,0.3262,0.1925,0.0454
400,0.4991,0.4671,0.4449,0.3414,0.2153,0.0538
